Model,Region,Price_USD,Sales_Volume
M5,Europe,98363,9468
X6,Europe,80549,5976
M5,South America,101717,8168
X6,North America,36829,7453
X6,South America,58399,1110
7 Series,North America,94328,9831
i3,North America,104168,1755
i3,Middle East,82166,8969
i8,Asia,61129,1923
5 Series,Asia,53341,3208
i3,North America,90524,9651
X5,North America,119903,3241
X3,Asia,97089,4428
X1,Middle East,107374,6025
X3,South America,68456,2003
3 Series,South America,45078,889
5 Series,North America,78058,7928
X3,Africa,93953,3640
X1,North America,65133,7081
i8,South America,31709,6458
M3,Europe,83009,215
X6,Asia,116905,371
5 Series,North America,39556,8864
X5,South America,112830,2768
5 Series,Asia,113702,6803
7 Series,Europe,80565,1887
M5,Europe,114539,5359
7 Series,North America,117738,6126
M5,Middle East,98458,5606
M5,Africa,108495,197
i3,Asia,45778,4816
i3,North America,94162,1830
5 Series,South America,53897,2299
i8,Asia,46246,6281
X6,Europe,100635,6917
M3,South America,74783,9260
7 Series,North America,85017,9775
X5,North America,31497,5477
7 Series,North America,35013,2042
X3,Africa,95330,1903
M3,Europe,75199,6032
5 Series,South America,74599,370
7 Series,Europe,83021,4500
X3,South America,118641,6923
X1,Asia,100180,8350
5 Series,South America,44482,4875
X6,South America,86584,5441
i3,Middle East,114475,5900
X1,Africa,94337,5174
7 Series,South America,106356,7310
i8,Europe,56981,3345
5 Series,Africa,119557,9478
7 Series,Middle East,107095,8621
M5,Middle East,103494,796
7 Series,Middle East,109197,789
M3,North America,65837,8764
X5,Africa,87403,4619
X6,Africa,88249,4363
X5,Europe,65419,3585
M3,Middle East,41677,8811
i3,South America,61076,6824
X3,North America,95134,1389
3 Series,Middle East,62329,2827
M3,South America,72000,7780
3 Series,North America,45092,6364
M3,North America,102305,3627
X1,Africa,91146,1446
7 Series,Middle East,46357,8466
3 Series,Europe,86015,2231
7 Series,Africa,61089,3003
3 Series,North America,46581,2345
X3,Middle East,90928,9037
5 Series,Europe,105608,8257
X3,North America,111712,4882
X3,Europe,31296,8461
i3,Africa,41040,9429
3 Series,North America,76111,703
X6,Europe,84285,5711
7 Series,Asia,118835,5134
X1,Africa,58221,3978
M5,Africa,52744,4603
i3,North America,87082,5177
X6,North America,104125,2212
X3,Africa,111418,3378
X6,Asia,100299,3667
M3,South America,53111,9739
3 Series,Africa,82381,8241
X5,South America,114283,3120
7 Series,Africa,96987,4362
i3,Africa,38101,874
X1,Europe,38185,9361
7 Series,South America,60159,592
M5,Asia,63716,1871
X6,Asia,95762,978
3 Series,South America,98873,9264
X5,Europe,57668,2823
i3,North America,80525,6481
7 Series,Middle East,113211,7490
M3,Africa,44441,1074
5 Series,Asia,119290,3018
X1,Middle East,115174,8701
5 Series,North America,109008,1258
3 Series,South America,65616,7858
X5,Europe,99005,6990
X5,Middle East,95587,5083
M3,South America,69403,9608
3 Series,South America,66497,307
7 Series,North America,81746,8811
M5,Middle East,113907,9224
i3,South America,90196,3804
X3,Africa,78281,4594
M3,North America,33594,2417
5 Series,Africa,113697,3810
X6,Europe,89344,8818
M5,South America,92844,8614
5 Series,South America,96884,7612
5 Series,South America,55965,2088
7 Series,South America,89889,2574
5 Series,South America,118546,8719
7 Series,Asia,78337,4477
M3,North America,104893,9900
M3,Europe,85372,1724
7 Series,Asia,117253,5167
7 Series,Middle East,30309,6842
7 Series,Middle East,53556,5962
X3,North America,35741,5841
7 Series,North America,92196,8322
5 Series,Europe,113726,7489
X3,North America,76966,6662
3 Series,Africa,44286,7766
7 Series,Europe,71486,789
i8,North America,74501,1068
X3,Middle East,78675,9153
M3,Asia,82112,1457
5 Series,North America,109162,7163
X5,Middle East,43917,6265
X5,Asia,51179,3335
5 Series,Middle East,48063,4290
7 Series,North America,76513,9826
3 Series,South America,118687,8639
i3,Europe,119648,1619
i3,South America,86577,6215
X1,Middle East,101559,5894
X1,Europe,50570,3300
X1,North America,70164,5456
7 Series,Middle East,102260,2200
5 Series,Africa,48139,9319
3 Series,Middle East,58521,228
X5,Middle East,79389,6034
X5,Africa,98740,7050
X6,South America,35545,2595
5 Series,Europe,84501,8836
X5,North America,50937,4686
X5,North America,36771,2957
i3,South America,34505,5673
X3,Middle East,40694,6713
7 Series,Asia,54273,7965
X1,Africa,68785,8717
X1,Middle East,89768,5239
X3,North America,105970,6821
X1,South America,64501,7138
i8,Europe,78109,5215
X5,Africa,50442,6154
3 Series,North America,79236,9303
X3,Middle East,104110,224
i8,Europe,73424,7060
X1,South America,76331,6934
M5,North America,36317,7146
i3,North America,68479,8925
i8,Asia,85282,2967
i3,South America,68456,908
3 Series,Asia,57092,6245
M5,Middle East,35732,8092
i8,Middle East,99825,6709
X1,South America,82274,7063
X1,South America,57393,5477
X3,Africa,54655,1180
X6,Africa,72395,1626
3 Series,South America,60560,8121
7 Series,South America,70094,5446
i8,Europe,88283,7317
7 Series,South America,68117,3012
X6,Asia,116538,8197
X6,South America,77593,9885
M3,South America,32659,9573
X6,North America,107478,5061
3 Series,Middle East,57119,6481
i3,Europe,31157,3118
M3,South America,55022,6374
X5,Africa,65102,2217
M3,Asia,71125,6440
M5,Africa,80402,4766
i3,South America,47032,9316
i8,Africa,113241,9160
7 Series,South America,57120,8282
i8,North America,101190,6161
7 Series,Europe,70841,6858
X1,South America,89012,7077
5 Series,Europe,56520,3029
5 Series,North America,87814,1206
i8,Middle East,118386,8677
5 Series,Middle East,56363,1878
X1,South America,94948,3389
i8,South America,64984,5106
X6,Middle East,89134,9161
3 Series,Europe,93579,4695
7 Series,Middle East,62516,4287
M3,Middle East,93080,6979
M3,Asia,106799,7318
7 Series,Middle East,110453,3265
X1,Middle East,103605,1284
7 Series,Africa,83743,5076
3 Series,Europe,30328,4360
i8,North America,85692,3638
X1,North America,94893,171
X1,Europe,104754,1526
X1,North America,52338,1818
i8,Middle East,71133,3712
X3,Asia,60289,7710
X1,South America,39344,7772
3 Series,Europe,64579,8848
X1,Europe,118444,395
M5,Europe,66188,9951
i8,Middle East,64391,364
M5,South America,33218,2859
3 Series,Europe,106740,398
7 Series,South America,39432,3921
i8,South America,106759,7792
i8,Asia,45015,4434
i8,North America,106667,6742
5 Series,Europe,33942,1220
M5,Middle East,60717,5724
X6,Europe,101449,8963
M3,North America,73418,2040
i8,South America,65060,3768
X5,Asia,73274,7702
3 Series,South America,40586,1651
X1,North America,108107,4883
X6,Africa,115317,5523
X6,Africa,51932,327
X1,Asia,59738,3962
i3,Europe,118571,3768
7 Series,Europe,63422,8986
X3,North America,37168,5499
i3,Middle East,105635,1127
X1,Asia,119552,5485
i8,Asia,35639,2799
M3,Europe,97324,9357
X1,Europe,52822,8833
M5,Middle East,94689,356
i3,North America,86534,7926
7 Series,Africa,109434,1288
M5,Africa,70027,4578
M3,North America,117237,8586
3 Series,North America,98452,7885
M3,Asia,56712,1738
7 Series,Middle East,103737,2794
X1,Asia,53776,450
X5,Europe,67930,1636
i3,South America,117256,1633
5 Series,Europe,64944,5749
X6,Europe,65469,2441
i3,Middle East,34505,3245
5 Series,Europe,117801,9807
X1,South America,104445,4724
X3,Europe,97419,6984
i8,Middle East,110826,6713
X1,Africa,70903,3054
X3,Europe,57989,1171
M5,Europe,101165,9984
7 Series,Asia,101241,1535
5 Series,North America,52150,6399
5 Series,Europe,92479,2183
3 Series,North America,114474,4347
7 Series,Asia,48790,7342
M3,Africa,58024,3842
M3,Europe,107369,8924
X3,South America,89522,7315
3 Series,Europe,56472,2549
3 Series,Asia,86050,835
5 Series,Asia,91955,7263
5 Series,Europe,92183,1903
3 Series,Middle East,109920,6039
X3,South America,63102,987
X6,Africa,80949,3613
M3,Asia,84591,8926
i8,South America,38246,363
X3,Middle East,98481,8961
X5,North America,48576,2819
3 Series,Africa,81565,8031
X5,Asia,40124,8149
X6,Africa,97287,8677
X5,South America,75453,4269
X1,Africa,79080,3621
i3,Middle East,57271,8319
X6,Middle East,98297,4590
5 Series,South America,37456,2271
i8,Africa,108465,9086
i3,Asia,55187,4302
3 Series,Africa,42310,2538
X5,Asia,78458,2300
5 Series,North America,112676,8052
X3,Asia,64510,1693
3 Series,Europe,111150,5431
3 Series,Middle East,90629,503
3 Series,Europe,99184,421
X5,South America,82819,1701
3 Series,North America,119039,9021
X3,Europe,33214,9521
X6,Asia,113268,1777
X5,Africa,119178,3290
X5,Africa,74402,5427
X3,North America,39388,8413
i8,Africa,31447,8134
X1,Europe,65328,3997
i8,North America,104408,4135
7 Series,Asia,62793,1142
3 Series,Europe,59387,4677
X5,Middle East,63480,4498
5 Series,Africa,53591,9961
M5,Middle East,50314,8619
M5,North America,48803,5774
3 Series,Middle East,52870,9979
X5,Europe,69138,4366
X1,Middle East,102510,1523
M5,Asia,32353,3422
X5,Asia,117863,632
X3,Middle East,32200,5230
M3,Africa,47220,2110
X6,Asia,97680,4229
5 Series,North America,85255,4180
5 Series,North America,57319,5342
M3,Middle East,82369,1538
5 Series,North America,98830,4752
X3,Europe,50904,3775
i3,Asia,85400,2031
X6,South America,33869,934
X3,Middle East,83045,6111
5 Series,North America,47610,8208
3 Series,Europe,39256,7357
i3,Middle East,46036,9115
M5,Asia,36553,7061
M5,Asia,73348,3867
X3,Africa,67357,9727
X1,Africa,104449,4281
X6,South America,112855,758
X5,Africa,42377,3023
i3,North America,76608,5680
M5,Asia,65289,6105
i8,South America,38101,138
X6,Europe,117454,6238
5 Series,Europe,59268,749
M5,Asia,98512,3277
5 Series,Middle East,34330,1106
M3,Asia,102395,7612
5 Series,North America,50933,6633
X1,Asia,83078,281
5 Series,Asia,59710,7494
X5,Asia,100168,3599
X3,North America,105953,6089
7 Series,Africa,36623,1782
7 Series,South America,100170,2565
X3,North America,35383,2744
X5,Europe,34923,8937
i8,Middle East,86772,3104
3 Series,Middle East,79735,6990
X1,North America,70223,2892
M3,Europe,116021,1162
5 Series,Africa,109378,2031
X6,Middle East,45477,9914
5 Series,Asia,32026,4716
i3,Middle East,88667,1033
5 Series,Asia,116608,9309
X1,Middle East,70535,9807
